id,code,text,if_code,Non-FQN,FQN,label
28,"new LocalInterval(new LocalTime(13, 0), new LocalTime(17, 0));
new LocalInterval(new LocalTime(23, 0), new LocalTime(24, 0));
/**
* Description: Immutable time interval<br>
* The start instant is inclusive but the end instant is exclusive.
* The end is always greater than or equal to the start.
* The interval is also restricted to just one chronology and time zone.
* Start can be null (infinite).
* End can be null and will stay null to let the interval last until end-of-day.
* It supports intervals spanning multiple days.
*/
public class TimeInterval {
public static final ReadableInstant INSTANT = null; // null means today
// public static final ReadableInstant INSTANT = new Instant(0); // this means 1st jan 1970
private final DateTime start;
private final DateTime end;
public TimeInterval() {
this((LocalTime) null, null);
}
/**
* @param from - null or a time (null = left unbounded == LocalTime.MIDNIGHT)
* @param to - null or a time (null = right unbounded)
* @throws IllegalArgumentException if invalid (to is before from)
*/
public TimeInterval(LocalTime from, LocalTime to) throws IllegalArgumentException {
this(from == null ? null : from.toDateTime(INSTANT),
to == null ? null : to.toDateTime(INSTANT));
}
/**
* create interval spanning multiple days possibly.
*
* @param start - start distinct time
* @param end - end distinct time
* @throws IllegalArgumentException - if start > end. start must be <= end
*/
public TimeInterval(DateTime start, DateTime end) throws IllegalArgumentException {
this.start = start;
this.end = end;
if (start != null && end != null && start.isAfter(end))
throw new IllegalArgumentException(""start must be less or equal to end"");
}
public DateTime getStart() {
return start;
}
public DateTime getEnd() {
return end;
}
public boolean isEndUndefined() {
return end == null;
}
public boolean isStartUndefined() {
return start == null;
}
public boolean isUndefined() {
return isEndUndefined() && isStartUndefined();
}
public boolean overlaps(TimeInterval other) {
return (start == null || (other.end == null || start.isBefore(other.end))) &&
(end == null || (other.start == null || other.start.isBefore(end)));
}
public boolean contains(TimeInterval other) {
return ((start != null && other.start != null && !start.isAfter(other.start)) || (start == null)) &&
((end != null && other.end != null && !other.end.isAfter(end)) || (end == null));
}
public boolean contains(LocalTime other) {
return contains(other == null ? null : other.toDateTime(INSTANT));
}
public boolean containsEnd(DateTime other) {
if (other == null) {
return end == null;
} else {
return (start == null || !other.isBefore(start)) &&
(end == null || !other.isAfter(end));
}
}
public boolean contains(DateTime other) {
if (other == null) {
return start == null;
} else {
return (start == null || !other.isBefore(start)) &&
(end == null || other.isBefore(end));
}
}
@Override
public String toString() {
final StringBuilder sb = new StringBuilder();
sb.append(""TimeInterval"");
sb.append(""{start="").append(start);
sb.append("", end="").append(end);
sb.append('}');
return sb.toString();
}
}","Joda Time LocalTime of 24:00 end-of-day We're creating a scheduling application and we need to represent someone's available schedule during the day, regardless of what time zone they are in. Taking a cue from Joda Time's Interval, which represents an interval in absolute time between two instances (start inclusive, end exclusive), we created a LocalInterval. The LocalInterval is made up of two LocalTimes (start inclusive, end exclusive), and we even made a handy class for persisting this in Hibernate. For example, if someone is available from 1:00pm to 5:00pm, we would create: So far so good---until someone wants to be available from 11:00pm until midnight on some day. Since the end of an interval is exclusive, this should be easily represented as such: Ack! No go. This throws an exception, because LocalTime cannot hold any hour greater than 23. This seems like a design flaw to me---Joda didn't consider that someone may want a LocalTime that represents a non-inclusive endpoint. This is really frustrating, as it blows a hole in what was otherwise a very elegant model that we created. What are my options---other than forking Joda and taking out the check for hour 24? (No, I don't like the option of using a dummy value---say 23:59:59---to represent 24:00.) Update: To those who keep saying that there is no such thing as 24:00, here's a quote from ISO 8601-2004 4.2.3 Notes 2,3: ""The end of one calendar day [24:00] coincides with [00:00] at the start of the next calendar day ..."" and ""Representations where [hh] has the value [24] are only preferred to represent the end of a time interval ...."" this is our implementation of TimeInterval, using null as end Date for end-of-day. It supports the overlaps() and contains() methods and is also based on joda-time. It supports intervals spanning multiple days.",1,ReadableInstant,ReadableInstant,0
29,"new LocalInterval(new LocalTime(13, 0), new LocalTime(17, 0));
new LocalInterval(new LocalTime(23, 0), new LocalTime(24, 0));
/**
* Description: Immutable time interval<br>
* The start instant is inclusive but the end instant is exclusive.
* The end is always greater than or equal to the start.
* The interval is also restricted to just one chronology and time zone.
* Start can be null (infinite).
* End can be null and will stay null to let the interval last until end-of-day.
* It supports intervals spanning multiple days.
*/
public class TimeInterval {
public static final ReadableInstant INSTANT = null; // null means today
// public static final ReadableInstant INSTANT = new Instant(0); // this means 1st jan 1970
private final DateTime start;
private final DateTime end;
public TimeInterval() {
this((LocalTime) null, null);
}
/**
* @param from - null or a time (null = left unbounded == LocalTime.MIDNIGHT)
* @param to - null or a time (null = right unbounded)
* @throws IllegalArgumentException if invalid (to is before from)
*/
public TimeInterval(LocalTime from, LocalTime to) throws IllegalArgumentException {
this(from == null ? null : from.toDateTime(INSTANT),
to == null ? null : to.toDateTime(INSTANT));
}
/**
* create interval spanning multiple days possibly.
*
* @param start - start distinct time
* @param end - end distinct time
* @throws IllegalArgumentException - if start > end. start must be <= end
*/
public TimeInterval(DateTime start, DateTime end) throws IllegalArgumentException {
this.start = start;
this.end = end;
if (start != null && end != null && start.isAfter(end))
throw new IllegalArgumentException(""start must be less or equal to end"");
}
public DateTime getStart() {
return start;
}
public DateTime getEnd() {
return end;
}
public boolean isEndUndefined() {
return end == null;
}
public boolean isStartUndefined() {
return start == null;
}
public boolean isUndefined() {
return isEndUndefined() && isStartUndefined();
}
public boolean overlaps(TimeInterval other) {
return (start == null || (other.end == null || start.isBefore(other.end))) &&
(end == null || (other.start == null || other.start.isBefore(end)));
}
public boolean contains(TimeInterval other) {
return ((start != null && other.start != null && !start.isAfter(other.start)) || (start == null)) &&
((end != null && other.end != null && !other.end.isAfter(end)) || (end == null));
}
public boolean contains(LocalTime other) {
return contains(other == null ? null : other.toDateTime(INSTANT));
}
public boolean containsEnd(DateTime other) {
if (other == null) {
return end == null;
} else {
return (start == null || !other.isBefore(start)) &&
(end == null || !other.isAfter(end));
}
}
public boolean contains(DateTime other) {
if (other == null) {
return start == null;
} else {
return (start == null || !other.isBefore(start)) &&
(end == null || other.isBefore(end));
}
}
@Override
public String toString() {
final StringBuilder sb = new StringBuilder();
sb.append(""TimeInterval"");
sb.append(""{start="").append(start);
sb.append("", end="").append(end);
sb.append('}');
return sb.toString();
}
}","Joda Time LocalTime of 24:00 end-of-day We're creating a scheduling application and we need to represent someone's available schedule during the day, regardless of what time zone they are in. Taking a cue from Joda Time's Interval, which represents an interval in absolute time between two instances (start inclusive, end exclusive), we created a LocalInterval. The LocalInterval is made up of two LocalTimes (start inclusive, end exclusive), and we even made a handy class for persisting this in Hibernate. For example, if someone is available from 1:00pm to 5:00pm, we would create: So far so good---until someone wants to be available from 11:00pm until midnight on some day. Since the end of an interval is exclusive, this should be easily represented as such: Ack! No go. This throws an exception, because LocalTime cannot hold any hour greater than 23. This seems like a design flaw to me---Joda didn't consider that someone may want a LocalTime that represents a non-inclusive endpoint. This is really frustrating, as it blows a hole in what was otherwise a very elegant model that we created. What are my options---other than forking Joda and taking out the check for hour 24? (No, I don't like the option of using a dummy value---say 23:59:59---to represent 24:00.) Update: To those who keep saying that there is no such thing as 24:00, here's a quote from ISO 8601-2004 4.2.3 Notes 2,3: ""The end of one calendar day [24:00] coincides with [00:00] at the start of the next calendar day ..."" and ""Representations where [hh] has the value [24] are only preferred to represent the end of a time interval ...."" this is our implementation of TimeInterval, using null as end Date for end-of-day. It supports the overlaps() and contains() methods and is also based on joda-time. It supports intervals spanning multiple days.",1,Instant,Instant,0
30,"DateTime
Exception in thread ""main"" org.joda.time.IllegalFieldValueException: Value 2 for hourOfDay is not supported: Illegal instant due to time zone offset transition: 2011-03-27T02:52:05.239 (Europe/Prague)
at org.joda.time.chrono.ZonedChronology$ZonedDateTimeField.set(ZonedChronology.java:469)
at org.joda.time.MutableDateTime.setHourOfDay(MutableDateTime.java:702)
DateTime
MutableDateTime now = new MutableDateTime();
now.setHourOfDay(2);
now.setMinuteOfHour(0);
now.setSecondOfMinute(0);
now.setMillisOfSecond(0);
DateTime myDate = now.toDateTime();
DateTime
LocalDateTime
import org.joda.time.DateTime;
import org.joda.time.DateTimeZone;
import org.joda.time.LocalDateTime;
class TestTz {
public static void main(String[] args)
{
final DateTimeZone dtz = DateTimeZone.forID(""CET"");
LocalDateTime ldt = new LocalDateTime(dtz)
.withYear(2011)
.withMonthOfYear(3)
.withDayOfMonth(27)
.withHourOfDay(2);
// this is just here to illustrate I'm solving the problem; 
// don't need in operational code
try {
DateTime myDateBorken = ldt.toDateTime(dtz);
} catch (IllegalArgumentException iae) {
System.out.println(""Sure enough, invalid instant due to time zone offset transition!"");
}
if (dtz.isLocalDateTimeGap(ldt)) {
ldt = ldt.withHourOfDay(3);
}
DateTime myDate = ldt.toDateTime(dtz);
System.out.println(""No problem: ""+myDate);
}
}","How to handle jodatime Illegal instant due to time zone offset transition I want to set up joda to today at 2 AM (see sample code below). But I'm getting this exception: What is the correct way to the handle exception above or to create a at a particular hour of day? Sample code: Thanks. It seems like you're trying to get from a specific local time to a instance and you want that to be robust against daylight savings. Try this... (note I'm in US/Eastern, so our transition date was 13 Mar 11; I had to find the right date to get the exception you got today. Updated my code below for CET, which transitions today.) The insight here is that Joda provides to let you reason about a local wall-clock setting and whether it's legal in your timezone or not. In this case, I just add an hour if the time doesn't exist (your application has to decide if this is the right policy.) This code produces: Sure enough, invalid instant due to time zone offset transition! No problem: 2011-03-27T03:00:00.000+02:00",1,Instant,Instant,1
31,"""04/02/2011 20:27:05""
DateTime
DateTime dt = new DateTime(""04/02/2011 20:27:05"")
Invalid format: ""04/02/2011 14:42:17"" is malformed at ""/02/2011 14:42:17""
DateTime
DateTimeFormat
DateTimeFormatter formatter = DateTimeFormat.forPattern(""dd/MM/yyyy HH:mm:ss"");
DateTime dt = formatter.parseDateTime(string);",Converting a date string to a DateTime object using Joda Time library I have a date as a string in the following format . I am using Joda-Time library and would like to convert it to object. I did: But I'm getting the following error : How to convert the above date to a object? Use :,1,DateTime,DateTime,1
32,"""04/02/2011 20:27:05""
DateTime
DateTime dt = new DateTime(""04/02/2011 20:27:05"")
Invalid format: ""04/02/2011 14:42:17"" is malformed at ""/02/2011 14:42:17""
DateTime
DateTimeFormat
DateTimeFormatter formatter = DateTimeFormat.forPattern(""dd/MM/yyyy HH:mm:ss"");
DateTime dt = formatter.parseDateTime(string);",Converting a date string to a DateTime object using Joda Time library I have a date as a string in the following format . I am using Joda-Time library and would like to convert it to object. I did: But I'm getting the following error : How to convert the above date to a object? Use :,1,DateTimeFormat,DateTimeFormat,1
33,"DateTime now = new DateTime();
dateTimeAtStartOfToday
dateTimeAtEndOfToday
startOfToday
endOfToday
LocalDate today = now.toLocalDate();
LocalDate tomorrow = today.plusDays(1);
DateTime startOfToday = today.toDateTimeAtStartOfDay(now.getZone());
DateTime startOfTomorrow = tomorrow.toDateTimeAtStartOfDay(now.getZone());
startOfToday <= time < startOfTomorrow","How do you get the date/time range for ""today"" using the Joda date/time library in Java? Assuming this is how you get the current time in Joda time: How do you calculate values for the variables and ? What I'm trying to do is generate some SQL to do a lookup of all transactions that have occurred between the and . I would use: Then check if for any particular time. Of course, it partly depends on exactly what's stored in the database - and what time zone you're interested in.",1,DateTime,DateTime,1
34,"DateTime now = new DateTime();
dateTimeAtStartOfToday
dateTimeAtEndOfToday
startOfToday
endOfToday
DateTime dt = new DateTime();
DateMidnight dtStartDate = dt.toDateMidnight();
DateMidnight dtEndDate = dt.plusDays( 1 ).toDateMidnight();
System.out.println( dt + ""\\n"" + dtStartDate + ""\\n"" + dtEndDate );","How do you get the date/time range for ""today"" using the Joda date/time library in Java? Assuming this is how you get the current time in Joda time: How do you calculate values for the variables and ? What I'm trying to do is generate some SQL to do a lookup of all transactions that have occurred between the and . This works... ...but as far as the SQL, I tend to use BETWEEN as the where clause rather than do the > and",1,DateMidnight,DateMidnight,0
35,"<date>
<iLocalMillis>1316563200000</iLocalMillis>
<iChronology class=""org.joda.time.chrono.ISOChronology"" reference=""../../tradeDate/iChronology""/>
import java.lang.reflect.Constructor;
import org.joda.time.DateTime;
import com.thoughtworks.xstream.converters.Converter;
import com.thoughtworks.xstream.converters.MarshallingContext;
import com.thoughtworks.xstream.converters.UnmarshallingContext;
import com.thoughtworks.xstream.io.HierarchicalStreamReader;
import com.thoughtworks.xstream.io.HierarchicalStreamWriter;
public final class JodaTimeConverter implements Converter {
@Override
@SuppressWarnings(""unchecked"")
public boolean canConvert(final Class type) {
return (type != null) && DateTime.class.getPackage().equals(type.getPackage());
}
@Override
public void marshal(final Object source, final HierarchicalStreamWriter writer,
final MarshallingContext context) {
writer.setValue(source.toString());
}
@Override
@SuppressWarnings(""unchecked"")
public Object unmarshal(final HierarchicalStreamReader reader,
final UnmarshallingContext context) {
try {
final Class requiredType = context.getRequiredType();
final Constructor constructor = requiredType.getConstructor(Object.class);
return constructor.newInstance(reader.getValue());
} catch (final Exception e) {
throw new RuntimeException(String.format(
""Exception while deserializing a Joda Time object: %s"", context.getRequiredType().getSimpleName()), e);
}
}
}
XStream xstream = new XStream(new StaxDriver());
xstream.registerConverter(new JodaTimeConverter());",Xstream's jodatime Local Date display I'm using xstrem to serialise a jodatime local date into xml. However when output the generated xml the LocalDate is not in an easily readable format. See below: Any ideas how I can get xstream to display the date in a format that won't drive me up the wall? Here's what I have used successfully. I believe I used the info at the link mentioned in the first post. You can register it like:,1,DateTime,DateTime,1
36,"DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Months mt = Months.monthsBetween(start, end);
int monthDiff = mt.getMonths();
DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Period p = new Period(start, end, PeriodType.months().withDaysRemoved());
int months = p.getMonths() + 1;
withDaysRemoved()
2011-04-15
2011-06-14
2","How to calculate difference ONLY in months using Java's Joda API I am writing a program that is supposed to just calculate the months between 2 given dates and return the value to the program. For instance, if I have to calculate the number of months between 1 April and 30 June (which is a quarter, 3 months), and I use the following code: Using this, I am still getting ""2"" as the number of months, whereas it is actually ""3"" months. This is an example of what I want. I am only calculating the number of months (i.e. from 1st of the start month t the last date of the end month) and I dont need additional analysis like days, weeks, hours, etc. How do I achieve this? Any help would be appreciated. You need the part to ensure that adding one to the number of months works. Otherwise two dates such as and would still result in the answer being",1,DateTime,DateTime,1
37,"DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Months mt = Months.monthsBetween(start, end);
int monthDiff = mt.getMonths();
DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Period p = new Period(start, end, PeriodType.months().withDaysRemoved());
int months = p.getMonths() + 1;
withDaysRemoved()
2011-04-15
2011-06-14
2","How to calculate difference ONLY in months using Java's Joda API I am writing a program that is supposed to just calculate the months between 2 given dates and return the value to the program. For instance, if I have to calculate the number of months between 1 April and 30 June (which is a quarter, 3 months), and I use the following code: Using this, I am still getting ""2"" as the number of months, whereas it is actually ""3"" months. This is an example of what I want. I am only calculating the number of months (i.e. from 1st of the start month t the last date of the end month) and I dont need additional analysis like days, weeks, hours, etc. How do I achieve this? Any help would be appreciated. You need the part to ensure that adding one to the number of months works. Otherwise two dates such as and would still result in the answer being",1,Period,Period,1
38,"DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Months mt = Months.monthsBetween(start, end);
int monthDiff = mt.getMonths();
DateTime start = new DateTime().withDate(2011, 4, 1);
DateTime end = new DateTime().withDate(2011, 6, 30);
Period p = new Period(start, end, PeriodType.months().withDaysRemoved());
int months = p.getMonths() + 1;
withDaysRemoved()
2011-04-15
2011-06-14
2","How to calculate difference ONLY in months using Java's Joda API I am writing a program that is supposed to just calculate the months between 2 given dates and return the value to the program. For instance, if I have to calculate the number of months between 1 April and 30 June (which is a quarter, 3 months), and I use the following code: Using this, I am still getting ""2"" as the number of months, whereas it is actually ""3"" months. This is an example of what I want. I am only calculating the number of months (i.e. from 1st of the start month t the last date of the end month) and I dont need additional analysis like days, weeks, hours, etc. How do I achieve this? Any help would be appreciated. You need the part to ensure that adding one to the number of months works. Otherwise two dates such as and would still result in the answer being",1,PeriodType,PeriodType,1
39,"LocalDate startDate = new LocalDate(2011, 11, 8);
LocalDate endDate = new LocalDate(2012, 5, 1);
LocalDate thisMonday = startDate.withDayOfWeek(DateTimeConstants.MONDAY);
if (startDate.isAfter(thisMonday)) {
startDate = thisMonday.plusWeeks(1); // start on next monday
} else {
startDate = thisMonday; // start on this monday
}
while (startDate.isBefore(endDate)) {
System.out.println(startDate);
startDate = startDate.plusWeeks(1);
}","Joda time - all mondays between two dates I am using Joda time api in a Spring 3.0 project for the very first time. Now I have a start and end date and I want to get the date for all mondays between these two dates. How can I do this ? I have no idea where to start, can someone please advise. I looked at theis post Joda Time: How to get dates of weekdays on some date interval? and it offered some sort of guidance but its still somewhat vague due to little experience with joda.",1,DateTimeConstants,DateTimeConstants,1
40,"public static void main(String[] args) {
final LocalDate start = LocalDate.now();
final LocalDate end = new LocalDate(2012, 1, 14);
LocalDate weekday = start;
if (start.getDayOfWeek() == DateTimeConstants.SATURDAY ||
start.getDayOfWeek() == DateTimeConstants.SUNDAY) {
weekday = weekday.plusWeeks(1).withDayOfWeek(DateTimeConstants.MONDAY);
}
while (weekday.isBefore(end)) {
System.out.println(weekday);
if (weekday.getDayOfWeek() == DateTimeConstants.FRIDAY)
weekday = weekday.plusDays(3);
else
weekday = weekday.plusDays(1);
}
}",Calculating dates given two dates excluding weekend I am using Joda time api in a Spring 3.0 project for to calculate dates. Now I have a start and end date and I want to get everyday exept weekend or Saturday or Sunday between these two dates. How can I achieve this ? I looked at this post Joda time - all mondays between two dates. It offered some guidance but still vague as how to exclude two dates. I assume your question is how to get every day except weekend or Saturday or Sunday between two dates. Solution :,1,DateTimeConstants,DateTimeConstants,1
41,"public static int getDaysBetweenIgnoreWeekends(org.joda.time.DateTime startDate, org.joda.time.DateTime endDate, boolean ignoreTimeOfDay) {
// If the start date is equal to the closing date, spent 0 days
if (startDate.equals(endDate))
return 0;
if (ignoreTimeOfDay && startDate.toLocalDate().equals(endDate.toLocalDate()))
return 0;
// A number that represents the day for the start date, Monday = 1 , Tuesday = 2 , Wednesday = 3 ...
int dayOfWeekStartDateNumber = startDate.getDayOfWeek();
int dayOfWeekEndDateNumber = endDate.getDayOfWeek();
// If the starting date is Saturday or Sunday , pretend to be Monday
if (dayOfWeekStartDateNumber == 6 || dayOfWeekStartDateNumber == 7) {
int DaysToAdd = 8 - dayOfWeekStartDateNumber;
startDate = startDate.plusDays(DaysToAdd);
dayOfWeekStartDateNumber = Integer.valueOf(startDate.dayOfWeek().getAsString());
}
org.joda.time.DateTime effectiveEndDate = endDate; 
if (dayOfWeekEndDateNumber == 6 || dayOfWeekEndDateNumber == 7) {
effectiveEndDate = endDate.minusDays(Math.abs(5 - dayOfWeekEndDateNumber)); 
}
// How many days have passed counting weekends
int days;
if(ignoreTimeOfDay) {
days = org.joda.time.Days.daysBetween(startDate.toLocalDate(), effectiveEndDate.toLocalDate()).getDays();
} else {
days = org.joda.time.Days.daysBetween(startDate, effectiveEndDate).getDays();
}
// How many weeks have passed
int weeks = days / 7;
// Excess days left. E.g. one week and three days the excess will be 3
int excess = days % 7;
// Excess of days spent for the weekend , then it must be removed two days
// the final number of days
if (excess + dayOfWeekStartDateNumber >= 6) {
// Week count * 5 working days + excess days - the weekend that excess crossed
return weeks * 5 + excess - 2;
}
// Weeks count * 5 working days + excess days
return weeks * 5 + excess;
}
if (excess + dayOfWeekStartDateNumber >= 6) {
// Week count * 5 working days + excess days - the weekend that excess crossed
return weeks * 5 + excess - 2;
}",Calculating dates given two dates excluding weekend I am using Joda time api in a Spring 3.0 project for to calculate dates. Now I have a start and end date and I want to get everyday exept weekend or Saturday or Sunday between these two dates. How can I achieve this ? I looked at this post Joda time - all mondays between two dates. It offered some guidance but still vague as how to exclude two dates. I have been using @Josh Maag's logic for almost a year now but recently found that it returns wrong value when endDate happens to fall on a Saturday. Here is the version I would like to share which considers to subtract days from endDate when it happens to be a Saturday or a Sunday. In the earlier version - following snippet was subtracting an extra day. Subtracting -2 no matter if endDate was a Saturday or Sunday. Hope that helps!,1,DateTime,DateTime,0
42,"String[] days = {
""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat"", ""Sun""
};
String[] months = {
""Jan"", ""Feb"", ""Mar"", ""Apr"", ""May"", ""Jun"", ""Jul"", ""Aug"", ""Sep"", ""Oct"", ""Nov"", ""Dec""
};
String[] years = {
""2004"", ""2005"", ""2006"", ""2007"", ""2008"", ""2009"", ""2010"", ""2011""
};
// ORDER IS VERRY IMPORTANT!! ( MEST must be before EST for example)
String[] timesZones = {
""BST"", ""CET"", ""CEST"", ""CST"", ""CDT"", ""EDT"", ""GMT+00:00"", ""GMT"", ""IST"", ""MEST"", ""EST"", ""MET"", ""MDT"", ""PST"", ""PDT"", ""SAST"", ""UTC"", ""UT"", ""W. Europe Standard Time"", ""West-Europa (zomertijd)""
};
DateTime handleDate(String date) {
String origDate = date;
String timeZone = """";
String year = """";
String month = """";
String day = """";
int hours = 0;
int minutes = 0;
int seconds = 0;
// is it valid?
date = trim(date);
if (date.equals("""")) {
return null;
}
// first delete the comma that comes mostly after the day
date = date.replaceAll("","", """");
// remove the day
for (int i = 0; i < days.length; i++) {
if (date.contains(days[i])) {
date = date.replace(days[i], """");
break;
}
}
// if(date.contains(""23:27:17"")) println(date);
for (int i = 0; i < timesZones.length; i++) {
// first check with '(' and ')'
String target = ""(""+timesZones[i]+"")"";
if (date.contains(target)) { 
timeZone = timesZones[i];
date = date.replace(target, """");
break;
}
// if not found check without '(' and ')'
if (date.contains(timesZones[i])) { 
timeZone = timesZones[i];
date = date.replace(timesZones[i], """");
break;
}
}
// get the month
for (int i = 0; i < months.length; i++) {
if (date.contains(months[i])) {
month = months[i].toLowerCase(); // !must be lowercase
// must be dutch on my pc
if(month.equals(""oct"")) month = ""okt"";
if(month.equals(""may"")) month = ""mei"";
if(month.equals(""mar"")) month = ""mrt"";
date = date.replace(months[i], """");
break;
}
}
// get the year
for (int i = 0; i < years.length; i++) {
if (date.contains(years[i])) {
year = years[i];
date = date.replace(years[i], """");
break;
}
}
// get the time
Pattern p = Pattern.compile(""(\\\\d\\\\d):(\\\\d\\\\d):(\\\\d\\\\d)"");
Matcher m = p.matcher(date);
if (m.find()) {
// also fix the time, 00 is not allowed
hours = int(m.group(1));
minutes = int(m.group(2));
seconds = int(m.group(3));
date = date.replaceAll(""(\\\\d\\\\d:\\\\d\\\\d:\\\\d\\\\d)"", """");
}
// get the time difference
date = date.replace(""+-"", ""+0""); // bug fix where data is incorrect ( 16 Sep 2007 23:27:17 +-200)
p = Pattern.compile(""[+|-]*(\\\\d\\\\d)\\\\d\\\\d"");
m = p.matcher(date);
if (m.find()) {
int timeDifferenceH = int(m.group(1));
date = date.replaceAll(""([+|-]*\\\\d\\\\d\\\\d\\\\d)"", """");
}
date = "" ""+date; // bug fix
// get the day
for (int i = 31; i >= 1; i--) {
// first check for the ones that contains 2 digits (like 07)
String d = nf(i, 2);
if (date.contains(d)) {
day = nf(i, 2);
date = date.replace(d, """");
break;
}
// check for 1 digit
d = """"+i;
if (date.contains(d)) {
day = nf(i, 2);
date = date.replace(d, """");
break;
}
}
// there should be nothing left except white space
date = date.replace("" "", """");
if (date.equals("""") == false) {
println(""handleDate: problem with input\\n""+date);
println(origDate+""\\n"");
println(year);
println(month);
println(day);
}
String cleanDate = day+""/""+month+""/""+year+"" ""+nf(hours, 2)+"":""+nf(minutes, 2)+"":""+nf(seconds, 2);
DateTimeFormatter formatter = DateTimeFormat.forPattern(""dd/MMM/yyyy HH:mm:ss"");
try {
DateTime dt = formatter.parseDateTime(cleanDate);
return dt;
} catch (IllegalArgumentException iae) {
println(""handleDate: Problem with formatting: ""+cleanDate);
}
return null; 
}","convert irregular dates I got a list of irregular dates like this: Thu, 29 Sep 2005 17:52:45 GMT Wed, 17 Aug 2005 21:21:08 +0200 Wed, 17 Aug 2005 20:08:22 +0200 Mon, 15 Aug 2005 21:44:07 +0200 Sun, 24 Jul 2005 21:47:09 +0200 Sun, 24 Jul 2005 12:37:46 -0700 (PDT) Sun, 24 Jul 2005 21:37:51 +0200 Mon, 11 Jul 2005 21:19:38 +0200 Mon, 11 Jul 2005 21:19:02 +0200 Mon, 11 Jul 2005 20:43:08 +0200 (CEST) 13 Nov 2006 14:06:20 +0000 How and can i convert them to DateTime or just Time with either JodaTime or the default java date class? (joda time prefered). Pangea i was to tired when i read your message, i wanted to post the solution and i read it back and now i realize i could have done it a lot easier with trying and on a null return or something try a different pattern. Anyway this was the hard way solution:",1,DateTimeFormat,DateTimeFormat,0
43,"DateTimeFormatter jodaParser = DateTimeFormat
.forPattern(inputDateWhichIsAString);
LocalDate localDate = jodaParser
.withZone(DateTimeZone.UTC)
.parseDateTime(inputDateWhichIsAString).toLocalDate();
return localDate.toDate();
//Make sure you use HH instead of hh if you are using 24 hour convention. I use this convention since my date format is: 2012-01-05T08:00:00.000Z
DateTimeFormatter jodaParser = 
DateTimeFormat.forPattern(""yyyy-MM-dd'T'HH:mm:ss.SSSZZ"");
LocalDate date = jodaParser.withZone(DateTimeZone.UTC).parseDateTime
(inputDateWhichIsAString).toLocalDate();
return date.toDate();
DateTimeFormatter fmt = ISODateTimeFormat.dateTime();
DateTime dateTime = fmt.parseDateTime(inputDateWhichIsAString);
if (dateTime != null) {
Date date = dateTime.toDate();
}
return date;","LocalDate.toDate( ) returns inaccurate date I am using JODA for formatting a Date of type : 2012-01-05T08:00:00.000Z (For the date 5th of Jan 2012) and trying to convert it to a Java Date. The following are the steps which I am taking at this stage: Using the DateTimeFormatter to do the initial formatting: Converting it to a LocalDate with the necessary Time Zone (UTC) Using the LocalDate to retrieve the Java Date object However while I should expect the returned date to be : 5th of Jan 2012, what I am getting is 1st of Jan 1970. I was under the impression that JODA takes care of these problems which the Java Date object is known to have. Am I doing something wrong here - or do anyone of you have had similar issues and know a workaround to it? Thanks Rajat Edit: Firstly thanks Michael. So here is an improvement over my previous snippet which has made sure that I get the right Date - in other words the solution. Cheers Rajat Since we all like shorter solutions : Considering my date format is one of type ISODateFormat as defined by JODA a much simpler solution to my problem would be :",1,ISODateTimeFormat,ISODateTimeFormat,0
